"","Id","MSSubClass","MSZoning","LotArea","Street","LotConfig","Neighborhood","BldgType","OverallQual","YearBuilt","ExterCond","BsmtCond","CentralAir","GrLivArea","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageQual","PoolArea","PoolQC","SalePrice"
"1020",1020,120,"RL",3013,1,"Inside","Antwerp","TwnhsE",7,2005,3,3,1,1506,4,6,7,1,3,0,0,213490
"282",282,20,"FV",7200,1,"Inside","Ostend","1Fam",6,2006,3,3,1,1262,4,5,7,0,3,0,0,185000
"1115",1115,20,"RL",5400,1,"Inside","Hasselt","1Fam",5,1954,4,3,1,833,4,4,7,0,3,0,0,117000
"1449",1449,50,"RL",11767,1,"Inside","Bruges","1Fam",4,1910,3,3,0,1346,3,6,5,0,2,0,0,112000
"1148",1148,70,"RL",12000,1,"Inside","Anderlecht","1Fam",7,1941,3,3,1,1564,2,7,7,1,3,0,0,174500
"204",204,120,"RM",4438,1,"Inside","Schaerbeek","TwnhsE",6,2004,3,3,1,848,4,3,7,1,3,0,0,149000
"8",8,60,"RL",10382,1,"Corner","LaLouviere","1Fam",7,1973,3,3,1,2090,3,7,7,2,3,0,0,200000
"1188",1188,20,"RL",12461,1,"Corner","Aalst","1Fam",8,1994,3,3,1,1624,4,5,7,1,3,0,0,262000
"1337",1337,90,"RL",9246,1,"Inside","LaLouviere","Duplex",5,1973,3,3,1,1656,3,8,7,0,3,0,0,135000
"1064",1064,30,"RM",6000,1,"Inside","Hasselt","1Fam",6,1925,4,3,1,1103,4,5,7,1,3,0,0,110500
"857",857,80,"RL",10970,1,"Inside","Schaerbeek","1Fam",6,1978,3,4,1,1026,3,5,7,0,3,0,0,147000
"1281",1281,20,"RL",9808,1,"Inside","Schaerbeek","1Fam",7,2002,3,3,1,1573,4,6,7,0,3,0,0,227000
"785",785,75,"RM",6300,1,"Inside","Hasselt","1Fam",6,1914,3,3,1,1484,3,9,7,1,0,0,0,128000
"1149",1149,50,"RM",5700,1,"Inside","Hasselt","1Fam",7,1926,3,3,1,1111,3,5,7,1,3,0,0,116900
"47",47,50,"RL",12822,1,"CulDSac","Mons","1Fam",7,2003,3,3,1,2149,4,6,7,1,3,0,0,239686
"748",748,70,"RM",11700,1,"Corner","Hasselt","1Fam",7,1880,3,2,0,2640,4,8,7,1,3,0,0,265979
"953",953,85,"RL",7200,1,"Inside","Schaerbeek","1Fam",5,1972,4,3,1,768,3,5,7,0,3,0,0,133900
"1269",1269,50,"RL",14100,1,"Inside","Anderlecht","1Fam",8,1935,4,3,1,3447,4,11,7,2,3,0,0,381000
"1230",1230,80,"RL",7910,1,"Inside","Ixelles","1Fam",5,1960,3,3,1,1507,3,7,3,0,3,0,0,127000
"676",676,160,"RL",2289,1,"Inside","Mechelen","Twnhs",6,1978,3,3,1,1441,3,7,7,1,3,0,0,148500
"876",876,60,"FV",9000,1,"Inside","Ostend","1Fam",8,2007,3,3,1,2610,5,11,7,1,3,0,0,303477
"275",275,20,"RL",8314,1,"Corner","Mons","1Fam",5,1982,3,3,1,816,3,5,7,0,3,0,0,124500
"73",73,60,"RL",10141,1,"Corner","Namur","1Fam",7,1998,3,3,1,1718,3,7,7,1,3,0,0,185000
"459",459,70,"RM",5100,1,"Inside","Hasselt","1Fam",8,1925,4,3,1,1666,4,7,7,1,3,0,0,161000
"546",546,50,"RL",13837,1,"Corner","LaLouviere","1Fam",7,1988,4,4,1,2183,4,9,7,0,3,0,0,229000
"1184",1184,30,"RL",10800,1,"Inside","Hasselt","1Fam",5,1920,3,3,1,1130,3,5,7,1,3,0,0,120000
"1175",1175,70,"RL",16560,1,"Inside","Anderlecht","1Fam",6,1932,3,3,1,2345,3,9,7,1,3,0,0,239000
"515",515,45,"RL",10594,1,"Inside","Anderlecht","1Fam",5,1926,3,3,0,789,3,5,7,0,1,0,0,96500
"373",373,120,"RL",7175,1,"Inside","Kortrijk","TwnhsE",6,1984,3,3,1,752,3,4,7,0,3,0,0,125000
"759",759,160,"FV",2280,1,"Inside","Ostend","Twnhs",7,1999,3,3,1,1501,3,6,7,0,3,0,0,179400
"693",693,60,"RL",26178,1,"Inside","Seraing","1Fam",7,1989,3,3,1,2519,4,9,7,2,3,0,0,335000
"109",109,50,"RM",8500,1,"Corner","Leuven","1Fam",5,1919,3,3,0,1517,2,7,7,0,0,0,0,115000
"1266",1266,160,"FV",3735,1,"FR3","Ostend","TwnhsE",7,1999,3,3,1,1452,4,6,7,0,3,0,0,183900
"844",844,90,"RL",8000,1,"Corner","Ixelles","Duplex",5,1961,3,3,0,1800,3,10,7,0,0,0,0,141000
"579",579,160,"FV",3604,1,"Corner","Ostend","TwnhsE",7,2007,3,3,1,1392,4,5,7,0,3,0,0,146000
"1408",1408,20,"RL",8780,1,"Corner","Mons","1Fam",5,1985,3,3,1,833,3,5,7,0,0,0,0,112000
"577",577,50,"RL",6292,1,"Inside","Genk","1Fam",7,1928,3,3,1,1477,3,6,7,1,3,0,0,145000
"1436",1436,20,"RL",8400,1,"Inside","Ixelles","1Fam",6,1962,4,3,1,1537,4,7,7,1,3,0,0,174000
"870",870,60,"RL",9938,1,"Inside","Kortrijk","1Fam",7,1993,3,3,1,1949,4,8,7,1,3,0,0,236000
"849",849,50,"RL",45600,1,"Inside","Brussels","1Fam",6,1908,3,3,1,2358,3,10,7,1,2,0,0,240000
"817",817,20,"RL",11425,1,"Corner","Ixelles","1Fam",5,1954,3,3,1,1008,3,4,7,1,3,0,0,137000
"810",810,75,"RM",8100,1,"Corner","Hasselt","1Fam",5,1898,3,3,0,2138,3,11,7,0,2,0,0,106000
"830",830,160,"FV",2544,1,"Inside","Ostend","Twnhs",7,2005,3,3,1,1223,4,4,7,0,3,0,0,147400
"1016",1016,60,"RL",8400,1,"Inside","LaLouviere","1Fam",8,2001,3,3,1,1665,4,6,7,0,3,0,0,227000
"236",236,160,"RM",1680,1,"Inside","Charleroi","TwnhsE",6,1971,3,3,1,987,3,5,7,0,3,0,0,89500
"594",594,120,"RM",4435,1,"Inside","Schaerbeek","TwnhsE",6,2003,3,3,1,848,4,4,7,0,3,0,0,140000
"657",657,20,"RL",10007,1,"Inside","Ixelles","1Fam",5,1959,3,3,1,1053,4,5,7,0,3,0,0,145500
"258",258,20,"RL",8814,1,"Inside","Schaerbeek","1Fam",7,2006,3,3,1,1604,4,8,7,1,3,0,0,220000
"473",473,180,"RM",3675,1,"Inside","Bruges","TwnhsE",6,2005,3,3,1,1072,3,5,7,0,3,0,0,148000
"1067",1067,60,"RL",7837,1,"Inside","Namur","1Fam",6,1993,3,3,1,1571,3,7,7,1,3,0,0,178000
